Row,cellName,cellId,candidateId,rankNum,isWellFitted,noSpontEpasRange2Cell,responseStr2Cell,noSpontEpasRange200Cell,responseStr200Cell,forHetero,has-70,has-65,has-60,usedCurveFit,usedD101310,usedB101310,iterNumber,goodResponseVtraub63,forHeteroVtraub63,responseStrVtraub63,rankNum20200203,isWellFitted20200203,goodResponse20200204,forHetero20200204,responseStr20200204,isWellFitted20200208,goodResponse20200208,forHetero20200208,goodEpasRange200Cell20200312,responseStr20200208
C101210,C101210,35,25,1,1,from-72to-60,good_response,from-72to-60,good_response,0,0,0,1,0,1,0,95,1,1,good_up_to_gIncr33,1,1,0,0,spontaneous,1,0,0,NA,spontaneous
K092810,K092810,20,14,2,1,from-75to-60,little_response,from-75to-60,little_response,1,0,1,0,0,0,1,101,1,1,good_up_to_gIncr17,2,1,1,1,good_up_to_gIncr17,1,1,1,From -75 to -60,good_up_to_gIncr33
H101310,H101310,49,36,3,1,from-75to-60,good_response,from-75to-60,good_response,1,1,0,0,0,1,0,97,1,1,good_up_to_gIncr17,4,1,1,1,good_up_to_gIncr17,1,1,1,From -74 to -60,good_up_to_gIncr33
B100810,B100810,30,22,4,1,from-73to-60,good_response,from-73to-60,good_response,0,0,1,0,0,1,0,95,1,1,good_up_to_gIncr33,5,1,1,1,good_up_to_gIncr33,1,1,1,None,good_up_to_gIncr33
E091810,E091810,5,5,5,1,from-75to-60,no_response,from-75to-60,no_response,1,1,0,0,0,1,0,95,0,0,no_response,6,1,0,0,no_response,1,0,0,NA,no_response
D101310,D101310,45,32,6,1,from-75to-60,good_response,from-75to-60,good_response,1,1,1,1,1,0,0,99,1,1,good_up_to_gIncr33,7,1,1,1,good_up_to_gIncr33,1,1,1,From -75 to -60,good_up_to_gIncr33
F101310,F101310,47,34,7,1,from-75to-60,no_response,from-75to-60,no_response,1,1,0,1,0,1,0,99,0,0,not_good_for_pharm3,8,1,0,0,not_good_for_pharm3,1,0,0,NA,not_good_for_pharm3
E100110,E100110,28,20,8,1,from-74to-60,good_response,from-75to-60,good_response,1,1,1,0,0,1,0,95,1,1,good_up_to_gIncr17,9,1,1,1,good_up_to_gIncr33,1,1,1,From -75 to -60,good_up_to_gIncr33
G101310,G101310,48,35,9,1,from-75to-60,okay_response,from-75to-60,okay_response,1,0,0,1,1,0,0,99,1,1,good_up_to_gIncr17,10,1,1,1,good_up_to_gIncr17,1,1,1,From -75 to -61,good_up_to_gIncr17
I101210,I101210,40,29,10,1,from-75to-60,good_response,from-75to-60,little_response,1,0,1,0,0,0,1,102,1,1,good_up_to_gIncr33,12,1,1,1,good_up_to_gIncr33,1,1,1,From -75 to -60,good_up_to_gIncr33
