Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,155.862517140582,154.525243658191,8,300,1,0,1,1,0,1
LDend,152.36644625274,149.020587825487,5,400,1,0,1,1,0,1
diamDend,2.5546638803728,1.29634187954732,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,8.79855246737143e-06,9.22981186926163e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.54582213419987e-09,1.26950241358114e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00105963262699949,0.000816095892375488,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.0020337672516499,0.00201441454832289,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.51727440765935e-06,4.66566689374289e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000438347149081041,0.000375698891197746,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,2.39476767624228e-06,1.37430897052318e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.70878693132201e-05,1.5093988543026e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.65017455010648e-05,4.06903991226662e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00174573413072327,0.00140035295452664,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00370298203370781,0.00289756414065725,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0490458780468767,0.0714682833524357,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0486632883575852,0.0335519997299968,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.59320843772355e-06,2.79539399749007e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,0.000129182044304872,1.84498878230159e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.08950973067477e-05,8.12319984050152e-06,1e-09,0.01,8,1,0,1,0,1
