Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,155.601012008351,156.09490856537,8,300,1,0,1,1,0,1
LDend,198.118687716582,198.715967622434,5,400,1,0,1,1,0,1
diamDend,4.102911103864,4.36174386519979,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.05393610959766e-05,1.03485983318812e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.64787610477939e-08,4.7221048886801e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00213121958039185,0.00203591643352514,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00168295774843325,0.001709936724771,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,3.66171934641241e-06,3.32932427077013e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000315030957934823,0.000327584073057495,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,6.01729327927918e-06,2.12240927624164e-08,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.84590822825976e-05,2.84271739136943e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000964239407054372,0.00108399529146517,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00069393966523679,0.00073436855951395,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00742392513624031,0.00786101136343425,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,3.67017739079511e-05,3.12479064770478e-05,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.00596938737434933,0.00747755789942431,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,3.60666381389692e-06,3.6123644322142e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.46440564834932e-05,1.32922586794973e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.30477023117169e-05,1.13063037269412e-05,1e-09,0.01,8,1,0,1,0,1
