Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,231.553293420661,234.261830911678,8,300,1,0,1,1,0,1
LDend,250.848564883842,255.140966670897,5,400,1,0,1,1,0,1
diamDend,11.5796100432606,14.0893033046965,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,2.44727988755102e-06,2.43228104263101e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.23504671300066e-09,1.28363819322922e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00047375907432872,0.000401724116323723,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00168395046833498,0.00162752899376059,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.04841205201422e-06,3.59539183288585e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,4.37705707612535e-05,3.6100830460587e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,7.56277217635133e-05,6.48789468073793e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,3.42242677764887e-09,4.09453102523293e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,4.19112792427255e-07,5.43870109777352e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000168721398102316,0.000134542032526066,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00817064457889489,0.00910582303583834,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,4.87909265081072e-08,2.77110686653299e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,1.63239201345164e-09,2.34969366115844e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.92438745780052e-06,2.67249829406668e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,2.90398054714082e-08,3.17215977109226e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,2.61630497399046e-05,2.94808235454575e-05,1e-09,0.01,8,1,0,1,0,1
